NAME,Total population,Population by sex and age,Population by sex and age (specific age group),Median household income,Population by race and Hispanic or Latino origin (specific group),Median family income,Per capita income,Housing units,Households,Population by age and sex (specific age group),Population by race and Hispanic or Latino origin (specific group),Population by race and Hispanic or Latino origin (specific group),Population by race and Hispanic or Latino origin (specific group),Housing occupancy,Occupied housing units,Occupied housing units (specific type),Median gross rent,Median selected monthly owner costs as a percentage of household income,Family income,Poverty status in the past 12 months,Median gross rent as a percentage of household income,Poverty status in the past 12 months (specific group),Population by race and Hispanic or Latino origin (specific group),Population by race and Hispanic or Latino origin (specific group),Median earnings by place of work,Median earnings by place of residence,Total civilian labor force,Total civilian labor force (specific group),Unemployment rate,Employment status by industry,Households by income,Households by income (specific group),Households by income (specific group),Households by income (specific group),Population by sex and age (specific group),Population by sex and age (specific group),Population by sex and age (specific group),Per capita income (specific group),Per capita income (specific group),Median earnings by place of work (specific group),Median earnings by place of residence (specific group),Population by age and sex (specific group),Population by age and sex (specific group),Population by age and sex (specific group),Population by age and sex (specific group),state,congressional district
"Congressional District 1 (118th Congress), Florida",772291,567937,101727,70864,103241,17641,87388,255000,300098,38.8,546861,100670,56095,359702,359702,59604,1264,206485,356036,40125,8298700,173999,117596,44606,730188,730188,730188,354904,76029,10645,743037,197317,300098,7617,21260,18773,1296,197317,87388,356992,356992,389450,382841,23318,8837,12,1
"Congressional District 2 (118th Congress), Florida",775769,517312,180139,58839,92955,18338,123027,208800,302164,38.5,497277,178605,51052,384546,384546,82382,1127,196351,365004,37508,7541175,199635,119351,42406,734969,734969,734969,356048,91761,11502,720994,182938,302164,7502,15210,15628,606,182938,123027,342592,342592,390495,385274,20032,8770,12,2
"Congressional District 3 (118th Congress), Florida",769691,547102,124705,55236,82732,18882,122382,194800,295221,39.8,508858,121726,85022,340691,340691,45470,1089,199201,335699,36397,6956720,196091,135981,39614,735568,735568,735568,357205,90549,11820,719334,178890,295221,7743,22659,16734,230,178890,122382,310878,310878,384285,385406,18820,8650,12,3
"Congressional District 4 (118th Congress), Florida",775118,440351,240469,65494,89519,19740,112426,232800,294852,38.4,415094,238094,66411,327848,327848,32996,1194,195625,374837,40157,9009160,183468,137714,32752,759108,759108,759108,366264,77023,10230,761882,196043,294852,9312,20138,22638,335,196043,112426,356256,356256,378057,397061,24394,8972,12,4
"Congressional District 5 (118th Congress), Florida",770573,543342,94551,81914,151109,15309,71037,345900,302259,38.8,504510,92331,91165,335183,335183,32924,1428,193872,400869,47538,8008180,180099,102449,60610,756172,756172,756172,368161,85276,6567,754898,195470,302259,5171,42186,22775,654,195470,71037,388469,388469,378300,392273,22548,8974,12,5
"Congressional District 6 (118th Congress), Florida",779543,597813,88378,59202,87775,17342,104532,231100,322922,48.4,560337,87158,92043,384120,384120,61198,1164,237349,335397,36916,7473310,149947,159245,36072,770419,770419,770419,374058,71964,15093,762760,206795,322922,9538,11936,27705,739,206795,104532,313003,313003,379509,400034,18361,11567,12,6
"Congressional District 7 (118th Congress), Florida",771916,544917,75684,74497,129538,16849,75047,291600,307938,42.0,483529,70656,161972,341516,341516,33578,1499,218147,400534,43555,9071550,174358,119310,48901,766703,766703,766703,376086,82174,10407,765980,202855,307938,8182,29494,51024,221,202855,75047,377845,377845,378541,393375,19243,9589,12,7
"Congressional District 8 (118th Congress), Florida",773536,599714,73350,70417,117007,17858,79240,279400,313093,48.6,559498,69589,90740,374876,374876,61783,1300,242348,354620,40960,7428030,151714,127473,56707,765150,765150,765150,375060,70863,13658,764299,197357,313093,6553,17001,20072,515,197357,79240,332660,332660,380170,393366,17278,11767,12,8
"Congressional District 9 (118th Congress), Florida",754301,386563,80585,68237,107756,19235,91813,294200,244425,37.5,227062,70562,400731,311682,311682,67257,1601,155779,396693,35009,10888275,186936,118131,39945,750914,750914,750914,373041,89934,8821,750856,176049,244425,9934,28005,115137,875,176049,91813,370425,370425,374960,379341,22782,5915,12,9
"Congressional District 10 (118th Congress), Florida",785358,381008,208381,65846,118119,27173,121119,301700,275968,34.1,284004,198867,229852,313389,313389,37421,1479,136706,426324,36963,9506800,216045,110550,49378,775733,775733,775733,382644,119287,6271,749961,167707,275968,8319,36956,56010,859,167707,121119,392811,392811,389760,395598,22250,6790,12,10
