Representatives,No,Year,Republican,Democratic,Libertarian,No Party Affiliation,Write-in,Total,Turnout_Republican,Turnout_Democratic,Result
1st district,01,2022,197349,93467,0,0,0,290816,0.678604341,0.321395659,Republican
1st district,01,2018,106199,216189,0,0,0,322388,0.329413626,0.670586374,Democratic
1st district,01,2014,"165,086","54,976",0,"15,281",0,"235,343",0.70146977,0.23359947,Republican
1st district,01,2010,170821,0,0,41503,1202,213526,0.800000937,0.0,Republican
1st district,01,2006,"135,786","62,340",0,0,0,"198,126",0.685351746,0.314648254,Republican
1st district,01,2002,152635,51972,0,0,19,204626,0.745921828,0.25398532,Democratic
2d district,02,2022,"180,236",121153,0,0,0,301389,0.598017844,0.401982156,Republican
2d district,02,2018,96233,199335,0,0,0,295568,0.325586667,0.674413333,Democratic
2d district,02,2014,123262,126096,0,0,422,249780,0.493482264,0.504828249,Democratic
2d district,02,2010,136371,105211,0,12840,16,254438,0.53596947,0.413503486,Republican
2d district,02,2002,75275,152164,0,0,0,227439,0.330967864,0.669032136,Democratic
3d district,03,2022,178101,"103,382",0,3410,0,284893,0.625150495,0.362880099,Republican
3d district,03,2018,129880,176616,0,0,0,306496,0.423757569,0.576242431,Democratic
3d district,03,2014,148691,73910,0,6208,0,228809,0.64984769,0.323020511,Republican
3d district,03,2010,50932,94744,0,4625,0,150301,0.338866674,0.630361741,Democratic
3d district,03,2002,60747,88462,0,0,4,149213,0.407116002,0.592857191,Democratic
4th district,04,2022,165696,108402,0,0,5,274103,0.604502687,0.395479072,Republican
4th district,04,2018,123351,248420,0,9476,2,381249,0.323544455,0.651595152,Democratic
4th district,04,2014,"177,887",0,0,"49,353",13,"227,253",0.782770745,0.0,Republican
4th district,04,2010,178238,0,0,52540,67,230845,0.772111157,0.0,Republican
4th district,04,2006,"141,759","61,704",0,0,16,"203,479",0.696676315,0.303245052,Republican
4th district,04,2002,171152,0,0,0,509,171661,0.997034854,0.0,Republican
5th district,05,2018,180527,89799,0,0,0,270326,0.667812197,0.332187803,Republican
5th district,05,2014,"59,237","112,340",0,0,0,"171,577",0.345250238,0.654749762,Democratic
5th district,05,2010,208815,100858,0,0,0,309673,0.67430806,0.32569194,Republican
5th district,05,2006,"162,421","108,959",0,0,0,"271,380",0.598500258,0.401499742,Republican
5th district,05,2002,121998,117758,0,14862,53,254671,0.479041587,0.462392656,Republican
6th district,06,2022,"226,548",0,"74,207 ",0,0,300755,0.753264285,0.0,Republican
6th district,06,2018,145758,187891,0,0,0,333649,0.436860293,0.563139707,Democratic
6th district,06,2014,"166,254","99,563",0,0,0,"265,817",0.625445325,0.374554675,Republican
6th district,06,2010,179349,0,0,71632,0,250981,0.714591941,0.0,Republican
6th district,06,2006,"136,601","91,528",0,0,0,"228,129",0.598788405,0.401211595,Republican
6th district,06,2002,141570,75046,0,0,0,216616,0.653552831,0.346447169,Democratic
7th district,07,2022,"177,966",126079,0,0,10,216617,0.821569868,0.582036498,Republican
7th district,07,2018,183113,134285,0,0,0,216618,0.845326796,0.619916166,Republican
7th district,07,2014,"144,474","73,011",0,"9,679",0,216619,0.666949806,0.337047997,Republican
7th district,07,2010,185470,83206,0,0,0,216620,0.856199797,0.384110424,Democratic
7th district,07,2006,"149,656","87,584",0,0,0,216621,0.690865613,0.404319064,Republican
7th district,07,2002,142147,96444,0,0,0,216622,0.656198355,0.445217937,Democratic
8th district,08,2022,222128,120080,0,0,10,342218,0.649083333,0.350887446,Republican
8th district,08,2018,142415,218112,0,0,0,360527,0.395018958,0.604981042,Democratic
8th district,08,2014,"180,728","93,724",0,0,61,"274,513",0.658358621,0.341419168,Republican
8th district,08,2010,123586,84167,0,4143,11,220244,0.561132199,0.38215343,Democratic
8th district,08,2006,"95,258","82,526",0,"2,640",20,"180,444",0.527908936,0.457349649,Republican
8th district,08,2002,123497,66099,0,0,0,189596,0.651369227,0.348630773,Democratic
9th district,09,2022,93827,108541,0,0,0,202368,0.463645438,0.536354562,Democratic
9th district,09,2018,172172,124565,0,0,0,296737,0.580217499,0.419782501,Republican
9th district,09,2014,"74,963","93,850",0,"5,060",5,"173,878",0.431124122,0.539746259,Democratic
9th district,09,2010,165433,66158,0,0,0,231591,0.714332595,0.285667405,Democratic
9th district,09,2006,"123,016","96,978",0,0,19,"220,013",0.559130597,0.440783045,Republican
9th district,09,2002,169369,67623,0,0,16,237008,0.714613009,0.285319483,Democratic
10th district,10,2022,"78,844","117,955",0,"3,111",0,"199,910",0.394397479,0.590040518,Democratic
10th district,10,2014,"143,128","89,426",0,0,20,"232,574",0.615408429,0.384505577,Republican
10th district,10,2010,137943,71313,0,0,0,209256,0.659206904,0.340793096,Democratic
10th district,10,2006,"131,488","67,950",0,0,7,"199,445",0.659269473,0.34069543,Republican
11th district,11,2022,205995,115647,0,4967,0,326609,0.630708278,0.354083935,Republican
11th district,11,2018,128053,239395,0,0,58,367506,0.348437849,0.651404331,Democratic
11th district,11,2014,"181,508","90,786",0,0,0,"272,294",0.66658832,0.33341168,Republican
11th district,11,2010,61817,91328,0,0,0,153145,0.403650135,0.596349865,Democratic
11th district,11,2006,"42,454","97,470",0,0,18,"139,942",0.303368538,0.696502837,Democratic
12th district,12,2022,226601,95390,0,0,4,321995,0.703740741,0.296246836,Republican
12th district,12,2018,132844,194564,0,7510,0,334918,0.396646343,0.580930258,Democratic
12th district,12,2010,102704,87769,0,0,0,213330,0.481432522,0.411423616,Democratic
